[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
223:(08/11),0.00,0.00,0.00,0.00,0.02,0.11,0.21,0.33,0.54,0.65,0.56,0.59,0.63,0.55,0.44,0.33,0.19,0.05,0.00,0.00,0.00,0.00,0.00,0.00,5.2
224:(08/12),0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.12,0.21,0.39,0.48,0.42,0.52,0.55,0.48,0.30,0.17,0.05,0.00,0.00,0.00,0.00,0.00,0.00,3.8
225:(08/13),0.00,0.00,0.00,0.00,0.02,0.12,0.23,0.28,0.41,0.65,0.71,0.72,0.66,0.52,0.48,0.30,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,5.3
226:(08/14),0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.08,0.12,0.27,0.42,0.37,0.22,0.23,0.24,0.14,0.04,0.00,0.00,0.00,0.00,0.00,0.00,2.2
227:(08/15),0.00,0.00,0.00,0.00,0.01,0.05,0.09,0.13,0.16,0.20,0.26,0.16,0.00,0.33,0.37,0.24,0.18,0.03,0.00,0.00,0.00,0.00,0.00,0.00,2.2
228:(08/16),0.00,0.00,0.00,0.00,0.00,0.07,0.21,0.35,0.30,0.36,0.40,0.41,0.49,0.50,0.29,0.17,0.10,0.03,0.00,0.00,0.00,0.00,0.00,0.00,3.7
229:(08/17),0.00,0.00,0.00,0.00,0.01,0.09,0.20,0.33,0.51,0.51,0.50,0.27,0.23,0.25,0.22,0.19,0.18,0.05,0.00,0.00,0.00,0.00,0.00,0.00,3.5
230:(08/18),0.00,0.00,0.00,0.00,0.01,0.09,0.25,0.40,0.52,0.57,0.52,0.59,0.59,0.46,0.38,0.31,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,4.9
231:(08/19),0.00,0.00,0.00,0.00,0.01,0.11,0.20,0.38,0.29,0.50,0.61,0.69,0.67,0.59,0.40,0.31,0.17,0.03,0.00,0.00,0.00,0.00,0.00,0.00,5.0
232:(08/20),0.00,0.00,0.00,0.00,0.01,0.10,0.24,0.36,0.50,0.62,0.67,0.65,0.57,0.43,0.34,0.27,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,5.0
233:(08/21),0.00,0.00,0.00,0.00,0.01,0.08,0.24,0.33,0.45,0.64,0.71,0.71,0.67,0.54,0.38,0.31,0.13,0.03,0.00,0.00,0.00,0.00,0.00,0.00,5.2
234:(08/22),0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.19,0.30,0.42,0.51,0.62,0.66,0.57,0.43,0.29,0.17,0.04,0.00,0.00,0.00,0.00,0.00,0.00,4.3
235:(08/23),0.00,0.00,0.00,0.00,0.01,0.08,0.18,0.31,0.43,0.49,0.62,0.71,0.64,0.46,0.45,0.19,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,4.6
