[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
342:(12/08),0.0,0.0,0.0,0.0,0.0,0.0,3.1,13.0,21.4,27.7,31.2,31.3,28.1,22.0,13.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
343:(12/09),0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.9,21.3,27.6,31.0,31.2,28.0,22.0,13.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344:(12/10),0.0,0.0,0.0,0.0,0.0,0.0,2.9,12.7,21.1,27.4,30.9,31.1,28.0,22.0,13.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345:(12/11),0.0,0.0,0.0,0.0,0.0,0.0,2.7,12.6,21.0,27.3,30.8,31.0,27.9,21.9,13.8,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346:(12/12),0.0,0.0,0.0,0.0,0.0,0.0,2.6,12.5,20.9,27.2,30.7,31.0,27.9,21.9,13.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347:(12/13),0.0,0.0,0.0,0.0,0.0,0.0,2.5,12.3,20.8,27.1,30.6,30.9,27.8,21.9,13.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
348:(12/14),0.0,0.0,0.0,0.0,0.0,0.0,2.3,12.2,20.6,27.0,30.6,30.9,27.8,21.9,13.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
349:(12/15),0.0,0.0,0.0,0.0,0.0,0.0,2.2,12.1,20.5,26.9,30.5,30.8,27.8,21.9,13.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
350:(12/16),0.0,0.0,0.0,0.0,0.0,0.0,2.1,12.0,20.4,26.8,30.4,30.8,27.8,21.9,13.8,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
351:(12/17),0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.9,20.3,26.7,30.4,30.7,27.8,21.9,13.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
352:(12/18),0.0,0.0,0.0,0.0,0.0,0.0,1.9,11.8,20.2,26.6,30.3,30.7,27.8,22.0,13.9,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
353:(12/19),0.0,0.0,0.0,0.0,0.0,0.0,1.8,11.7,20.1,26.6,30.3,30.7,27.8,22.0,14.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
354:(12/20),0.0,0.0,0.0,0.0,0.0,0.0,1.7,11.6,20.1,26.5,30.2,30.7,27.8,22.0,14.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
355:(12/21),0.0,0.0,0.0,0.0,0.0,0.0,1.6,11.5,20.0,26.4,30.2,30.7,27.8,22.1,14.1,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356:(12/22),0.0,0.0,0.0,0.0,0.0,0.0,1.5,11.4,19.9,26.4,30.2,30.7,27.9,22.1,14.2,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
357:(12/23),0.0,0.0,0.0,0.0,0.0,0.0,1.4,11.3,19.9,26.4,30.1,30.7,27.9,22.2,14.2,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
358:(12/24),0.0,0.0,0.0,0.0,0.0,0.0,1.3,11.3,19.8,26.3,30.1,30.7,27.9,22.3,14.3,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
359:(12/25),0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.2,19.8,26.3,30.1,30.7,28.0,22.3,14.4,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
360:(12/26),0.0,0.0,0.0,0.0,0.0,0.0,1.2,11.1,19.7,26.3,30.1,30.8,28.0,22.4,14.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
361:(12/27),0.0,0.0,0.0,0.0,0.0,0.0,1.1,11.1,19.7,26.3,30.1,30.8,28.1,22.5,14.6,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
362:(12/28),0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,19.6,26.2,30.2,30.8,28.2,22.6,14.7,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
363:(12/29),0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,19.6,26.3,30.2,30.9,28.3,22.7,14.8,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
364:(12/30),0.0,0.0,0.0,0.0,0.0,0.0,0.9,11.0,19.6,26.3,30.2,31.0,28.4,22.8,14.9,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
365:(12/31),0.0,0.0,0.0,0.0,0.0,0.0,0.9,10.9,19.6,26.3,30.3,31.0,28.4,22.9,15.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
