[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
356:(12/22),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.36,0.85,1.24,1.48,1.53,1.37,1.04,0.57,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.6
357:(12/23),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.21,0.64,1.20,1.56,1.45,1.24,1.17,0.55,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.1
358:(12/24),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.47,1.17,1.61,1.87,1.90,1.69,1.30,0.76,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.0
359:(12/25),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.35,0.46,0.54,0.64,0.90,1.38,1.04,0.58,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.1
360:(12/26),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.36,0.99,1.51,1.64,1.67,1.69,1.29,0.72,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.1
361:(12/27),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.24,0.63,0.73,1.03,1.07,0.80,0.78,0.32,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.7
362:(12/28),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.42,1.02,1.45,1.66,1.63,1.46,1.11,0.61,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.6
363:(12/29),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.41,0.92,1.24,1.43,1.39,1.19,0.89,0.49,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.1
364:(12/30),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.40,0.96,1.31,1.51,1.57,1.39,0.93,0.37,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.6
365:(12/31),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.26,0.50,1.52,1.78,1.45,1.31,0.92,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.1
