[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
326:(11/22),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.06,1.10,0.15,0.64,0.41,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.6
327:(11/23),0.00,0.00,0.00,0.00,0.00,0.00,0.37,1.61,2.30,2.57,2.62,1.38,2.23,2.29,0.91,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.4
328:(11/24),0.00,0.00,0.00,0.00,0.00,0.00,0.95,1.72,2.40,2.49,2.48,2.47,2.35,1.97,1.33,0.88,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.0
329:(11/25),0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.14,0.40,1.47,1.49,1.75,1.68,1.38,1.14,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.6
330:(11/26),0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.22,0.41,0.45,0.34,1.03,0.24,0.18,0.12,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.4
331:(11/27),0.00,0.00,0.00,0.00,0.00,0.00,0.95,1.37,2.04,3.02,3.19,3.16,3.01,2.88,2.38,1.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.9
332:(11/28),0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.15,0.17,0.41,0.51,0.38,0.26,0.28,0.16,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.7
333:(11/29),0.00,0.00,0.00,0.00,0.00,0.00,0.35,1.36,2.13,2.22,2.24,2.23,1.99,1.50,0.92,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.5
334:(11/30),0.00,0.00,0.00,0.00,0.00,0.00,0.38,1.23,1.90,2.22,2.39,2.48,2.41,2.12,1.51,1.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.9
335:(12/01),0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.97,1.55,1.73,2.06,2.00,1.54,1.17,0.77,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.3
336:(12/02),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
337:(12/03),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.03,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
338:(12/04),0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.28,0.29,0.82,1.30,0.56,0.48,0.63,0.22,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.9
339:(12/05),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
340:(12/06),0.00,0.00,0.00,0.00,0.00,0.00,1.11,1.55,2.54,2.63,2.77,2.25,1.82,0.57,0.34,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.8
341:(12/07),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
342:(12/08),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.01,0.01,0.04,0.05,0.04,0.06,0.05,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.3
343:(12/09),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.24,0.31,0.40,0.21,0.93,0.22,0.21,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
344:(12/10),0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.17,0.40,1.52,3.80,0.56,0.74,0.07,0.06,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.5
