[ß],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00
029:(01/29),0.0,0.0,0.0,0.0,0.0,0.0,-65.8,-56.2,-45.0,-31.5,-15.6,1.8,19.0,34.4,47.4,58.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
030:(01/30),0.0,0.0,0.0,0.0,0.0,0.0,-66.0,-56.4,-45.2,-31.7,-15.8,1.7,19.1,34.5,47.6,58.4,67.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
031:(01/31),0.0,0.0,0.0,0.0,0.0,0.0,-66.2,-56.7,-45.4,-31.9,-15.9,1.7,19.1,34.6,47.7,58.6,67.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
032:(02/01),0.0,0.0,0.0,0.0,0.0,0.0,-66.5,-56.9,-45.6,-32.0,-16.0,1.7,19.2,34.8,47.9,58.8,68.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
033:(02/02),0.0,0.0,0.0,0.0,0.0,0.0,-66.7,-57.1,-45.8,-32.2,-16.1,1.6,19.2,34.9,48.0,59.0,68.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
034:(02/03),0.0,0.0,0.0,0.0,0.0,0.0,-67.0,-57.4,-46.0,-32.4,-16.2,1.6,19.3,35.0,48.2,59.2,68.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
035:(02/04),0.0,0.0,0.0,0.0,0.0,0.0,-67.2,-57.6,-46.3,-32.6,-16.4,1.6,19.4,35.2,48.4,59.4,68.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
036:(02/05),0.0,0.0,0.0,0.0,0.0,0.0,-67.5,-57.8,-46.5,-32.8,-16.5,1.6,19.4,35.3,48.6,59.6,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
037:(02/06),0.0,0.0,0.0,0.0,0.0,0.0,-67.7,-58.1,-46.7,-33.0,-16.6,1.5,19.5,35.4,48.8,59.8,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
038:(02/07),0.0,0.0,0.0,0.0,0.0,0.0,-68.0,-58.3,-46.9,-33.1,-16.7,1.5,19.6,35.6,48.9,60.0,69.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
039:(02/08),0.0,0.0,0.0,0.0,0.0,0.0,-68.2,-58.5,-47.1,-33.3,-16.8,1.5,19.7,35.8,49.2,60.2,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
040:(02/09),0.0,0.0,0.0,0.0,0.0,0.0,-68.5,-58.8,-47.4,-33.5,-16.9,1.5,19.8,35.9,49.4,60.5,69.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
041:(02/10),0.0,0.0,0.0,0.0,0.0,0.0,-68.7,-59.0,-47.6,-33.7,-17.0,1.5,19.9,36.1,49.6,60.7,70.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
042:(02/11),0.0,0.0,0.0,0.0,0.0,0.0,-69.0,-59.3,-47.8,-33.9,-17.1,1.5,20.0,36.3,49.8,60.9,70.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
043:(02/12),0.0,0.0,0.0,0.0,0.0,0.0,-69.2,-59.5,-48.0,-34.1,-17.3,1.5,20.1,36.5,50.0,61.2,70.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
044:(02/13),0.0,0.0,0.0,0.0,0.0,0.0,-69.5,-59.8,-48.3,-34.2,-17.4,1.5,20.3,36.7,50.3,61.4,70.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
045:(02/14),0.0,0.0,0.0,0.0,0.0,0.0,-69.8,-60.0,-48.5,-34.4,-17.5,1.6,20.4,36.9,50.5,61.7,71.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
046:(02/15),0.0,0.0,0.0,0.0,0.0,0.0,-70.0,-60.3,-48.7,-34.6,-17.6,1.6,20.5,37.1,50.8,61.9,71.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
047:(02/16),0.0,0.0,0.0,0.0,0.0,0.0,-70.3,-60.5,-49.0,-34.8,-17.7,1.6,20.7,37.3,51.0,62.2,71.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
048:(02/17),0.0,0.0,0.0,0.0,0.0,0.0,-70.5,-60.8,-49.2,-35.0,-17.8,1.6,20.8,37.6,51.3,62.5,72.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
049:(02/18),0.0,0.0,0.0,0.0,0.0,0.0,-70.8,-61.0,-49.4,-35.2,-17.9,1.7,21.0,37.8,51.5,62.8,72.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
050:(02/19),0.0,0.0,0.0,0.0,0.0,0.0,-71.1,-61.3,-49.6,-35.4,-17.9,1.7,21.1,38.0,51.8,63.1,72.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
051:(02/20),0.0,0.0,0.0,0.0,0.0,0.0,-71.3,-61.5,-49.9,-35.5,-18.0,1.8,21.3,38.3,52.1,63.3,72.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
052:(02/21),0.0,0.0,0.0,0.0,0.0,0.0,-71.6,-61.8,-50.1,-35.7,-18.1,1.8,21.5,38.5,52.4,63.6,73.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
053:(02/22),0.0,0.0,0.0,0.0,0.0,0.0,-71.9,-62.0,-50.4,-35.9,-18.2,1.9,21.7,38.8,52.7,63.9,73.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
054:(02/23),0.0,0.0,0.0,0.0,0.0,0.0,-72.1,-62.3,-50.6,-36.1,-18.3,1.9,21.8,39.0,52.9,64.2,73.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
055:(02/24),0.0,0.0,0.0,0.0,0.0,0.0,-72.4,-62.6,-50.8,-36.3,-18.4,2.0,22.0,39.3,53.2,64.5,74.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
056:(02/25),0.0,0.0,0.0,0.0,0.0,0.0,-72.7,-62.8,-51.1,-36.5,-18.5,2.0,22.2,39.6,53.5,64.9,74.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
057:(02/26),0.0,0.0,0.0,0.0,0.0,0.0,-73.0,-63.1,-51.3,-36.7,-18.6,2.1,22.4,39.9,53.9,65.2,74.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
058:(02/27),0.0,0.0,0.0,0.0,0.0,0.0,-73.2,-63.3,-51.5,-36.9,-18.6,2.2,22.7,40.2,54.2,65.5,75.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
059:(02/28),0.0,0.0,0.0,0.0,0.0,0.0,-73.5,-63.6,-51.8,-37.0,-18.7,2.3,22.9,40.5,54.5,65.8,75.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
060:(03/01),0.0,0.0,0.0,0.0,0.0,0.0,-73.8,-63.9,-52.0,-37.2,-18.8,2.3,23.1,40.8,54.8,66.1,75.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
061:(03/02),0.0,0.0,0.0,0.0,0.0,0.0,-74.0,-64.1,-52.3,-37.4,-18.9,2.4,23.3,41.1,55.1,66.5,76.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
062:(03/03),0.0,0.0,0.0,0.0,0.0,0.0,-74.3,-64.4,-52.5,-37.6,-18.9,2.5,23.6,41.4,55.5,66.8,76.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
063:(03/04),0.0,0.0,0.0,0.0,0.0,0.0,-74.6,-64.7,-52.8,-37.8,-19.0,2.6,23.8,41.7,55.8,67.2,76.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
064:(03/05),0.0,0.0,0.0,0.0,0.0,0.0,-74.9,-64.9,-53.0,-38.0,-19.1,2.7,24.1,42.0,56.2,67.5,77.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
065:(03/06),0.0,0.0,0.0,0.0,0.0,0.0,-75.1,-65.2,-53.3,-38.2,-19.2,2.8,24.3,42.3,56.5,67.8,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
066:(03/07),0.0,0.0,0.0,0.0,0.0,0.0,-75.4,-65.5,-53.5,-38.4,-19.2,2.9,24.6,42.7,56.9,68.2,77.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
067:(03/08),0.0,0.0,0.0,0.0,0.0,0.0,-75.7,-65.7,-53.8,-38.6,-19.3,3.1,24.9,43.0,57.2,68.5,78.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
068:(03/09),0.0,0.0,0.0,0.0,0.0,0.0,-76.0,-66.0,-54.0,-38.8,-19.4,3.2,25.1,43.4,57.6,68.9,78.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
069:(03/10),0.0,0.0,0.0,0.0,0.0,0.0,-76.2,-66.3,-54.3,-39.0,-19.4,3.3,25.4,43.7,57.9,69.3,78.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
070:(03/11),0.0,0.0,0.0,0.0,0.0,0.0,-76.5,-66.5,-54.5,-39.2,-19.5,3.4,25.7,44.1,58.3,69.6,79.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
071:(03/12),0.0,0.0,0.0,0.0,0.0,0.0,-76.8,-66.8,-54.8,-39.4,-19.6,3.6,26.0,44.4,58.7,70.0,79.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
072:(03/13),0.0,0.0,0.0,0.0,0.0,-86.0,-77.1,-67.1,-55.0,-39.6,-19.6,3.7,26.3,44.8,59.1,70.3,79.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
073:(03/14),0.0,0.0,0.0,0.0,0.0,-86.3,-77.4,-67.4,-55.3,-39.8,-19.7,3.8,26.6,45.2,59.4,70.7,80.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
074:(03/15),0.0,0.0,0.0,0.0,0.0,-86.6,-77.6,-67.6,-55.5,-40.0,-19.8,4.0,26.9,45.6,59.8,71.1,80.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
075:(03/16),0.0,0.0,0.0,0.0,0.0,-86.9,-77.9,-67.9,-55.8,-40.2,-19.8,4.1,27.3,45.9,60.2,71.5,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
076:(03/17),0.0,0.0,0.0,0.0,0.0,-87.2,-78.2,-68.2,-56.1,-40.4,-19.9,4.3,27.6,46.3,60.6,71.8,81.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
077:(03/18),0.0,0.0,0.0,0.0,0.0,-87.4,-78.5,-68.5,-56.3,-40.6,-20.0,4.5,27.9,46.7,61.0,72.2,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
078:(03/19),0.0,0.0,0.0,0.0,0.0,-87.7,-78.7,-68.7,-56.6,-40.8,-20.0,4.6,28.3,47.1,61.4,72.6,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
079:(03/20),0.0,0.0,0.0,0.0,0.0,-88.0,-79.0,-69.0,-56.9,-41.0,-20.1,4.8,28.6,47.5,61.8,73.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
080:(03/21),0.0,0.0,0.0,0.0,0.0,-88.3,-79.3,-69.3,-57.1,-41.2,-20.2,5.0,28.9,47.9,62.2,73.3,82.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
081:(03/22),0.0,0.0,0.0,0.0,0.0,-88.6,-79.6,-69.6,-57.4,-41.5,-20.2,5.1,29.3,48.3,62.6,73.7,83.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
082:(03/23),0.0,0.0,0.0,0.0,0.0,-88.8,-79.9,-69.9,-57.7,-41.7,-20.3,5.3,29.7,48.7,63.0,74.1,83.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
083:(03/24),0.0,0.0,0.0,0.0,0.0,-89.1,-80.1,-70.1,-57.9,-41.9,-20.4,5.5,30.0,49.2,63.4,74.5,83.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
084:(03/25),0.0,0.0,0.0,0.0,0.0,-89.4,-80.4,-70.4,-58.2,-42.1,-20.4,5.7,30.4,49.6,63.8,74.9,84.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
085:(03/26),0.0,0.0,0.0,0.0,0.0,-89.7,-80.7,-70.7,-58.5,-42.3,-20.5,5.9,30.8,50.0,64.2,75.3,84.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
086:(03/27),0.0,0.0,0.0,0.0,0.0,-89.9,-81.0,-71.0,-58.8,-42.6,-20.6,6.1,31.2,50.4,64.6,75.6,85.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
087:(03/28),0.0,0.0,0.0,0.0,0.0,-90.2,-81.3,-71.3,-59.1,-42.8,-20.6,6.3,31.5,50.9,65.0,76.0,85.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
088:(03/29),0.0,0.0,0.0,0.0,0.0,-90.5,-81.5,-71.6,-59.3,-43.0,-20.7,6.5,31.9,51.3,65.4,76.4,85.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
089:(03/30),0.0,0.0,0.0,0.0,0.0,-90.8,-81.8,-71.9,-59.6,-43.3,-20.8,6.7,32.3,51.7,65.8,76.8,86.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
090:(03/31),0.0,0.0,0.0,0.0,0.0,-91.0,-82.1,-72.2,-59.9,-43.5,-20.8,6.9,32.7,52.2,66.3,77.2,86.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
091:(04/01),0.0,0.0,0.0,0.0,0.0,-91.3,-82.4,-72.4,-60.2,-43.8,-20.9,7.1,33.1,52.6,66.7,77.6,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
092:(04/02),0.0,0.0,0.0,0.0,0.0,-91.6,-82.7,-72.7,-60.5,-44.0,-21.0,7.3,33.5,53.0,67.1,78.0,87.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
093:(04/03),0.0,0.0,0.0,0.0,0.0,-91.9,-83.0,-73.0,-60.8,-44.3,-21.1,7.5,34.0,53.5,67.5,78.3,87.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
094:(04/04),0.0,0.0,0.0,0.0,0.0,-92.1,-83.2,-73.3,-61.1,-44.5,-21.2,7.8,34.4,53.9,67.9,78.7,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
095:(04/05),0.0,0.0,0.0,0.0,0.0,-92.4,-83.5,-73.6,-61.4,-44.8,-21.2,8.0,34.8,54.4,68.3,79.1,88.3,97.1,0.0,0.0,0.0,0.0,0.0,0.0
096:(04/06),0.0,0.0,0.0,0.0,0.0,-92.7,-83.8,-73.9,-61.7,-45.0,-21.3,8.2,35.2,54.8,68.8,79.5,88.7,97.4,0.0,0.0,0.0,0.0,0.0,0.0
097:(04/07),0.0,0.0,0.0,0.0,0.0,-92.9,-84.1,-74.2,-62.0,-45.3,-21.4,8.5,35.7,55.3,69.2,79.9,89.1,97.8,0.0,0.0,0.0,0.0,0.0,0.0
098:(04/08),0.0,0.0,0.0,0.0,0.0,-93.2,-84.4,-74.5,-62.3,-45.6,-21.5,8.7,36.1,55.7,69.6,80.3,89.4,98.1,0.0,0.0,0.0,0.0,0.0,0.0
099:(04/09),0.0,0.0,0.0,0.0,0.0,-93.5,-84.6,-74.8,-62.6,-45.8,-21.6,8.9,36.5,56.2,70.0,80.6,89.8,98.4,0.0,0.0,0.0,0.0,0.0,0.0
100:(04/10),0.0,0.0,0.0,0.0,0.0,-93.7,-84.9,-75.1,-62.9,-46.1,-21.7,9.2,37.0,56.6,70.4,81.0,90.1,98.8,0.0,0.0,0.0,0.0,0.0,0.0
101:(04/11),0.0,0.0,0.0,0.0,0.0,-94.0,-85.2,-75.4,-63.2,-46.4,-21.8,9.4,37.4,57.1,70.8,81.4,90.5,99.1,0.0,0.0,0.0,0.0,0.0,0.0
102:(04/12),0.0,0.0,0.0,0.0,0.0,-94.3,-85.5,-75.7,-63.5,-46.7,-21.9,9.7,37.9,57.5,71.2,81.8,90.8,99.5,0.0,0.0,0.0,0.0,0.0,0.0
