[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
335:(12/01),0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.61,1.13,1.39,1.73,1.68,1.23,0.85,0.48,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.3
336:(12/02),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.02,0.01,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
337:(12/03),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.03,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
338:(12/04),0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.18,0.21,0.66,1.09,0.47,0.39,0.46,0.14,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
339:(12/05),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.1
340:(12/06),0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.98,1.87,2.12,2.34,1.90,1.47,0.42,0.22,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.0
341:(12/07),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0
342:(12/08),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.03,0.04,0.03,0.04,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.2
343:(12/09),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.18,0.25,0.34,0.18,0.76,0.16,0.14,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.2
344:(12/10),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.11,0.29,1.23,3.22,0.48,0.60,0.05,0.04,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.1
