[MJ/(m2h)],01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,24:00,Daily Amount 
336:(12/02),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.09,0.07,0.14,0.19,0.16,0.13,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.0
337:(12/03),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.17,0.21,0.24,0.21,0.12,0.06,0.06,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.2
338:(12/04),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.25,0.44,0.66,0.71,0.74,0.64,0.50,0.25,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.3
339:(12/05),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.10,0.10,0.10,0.11,0.11,0.08,0.05,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.7
340:(12/06),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.25,0.28,0.35,0.37,0.50,0.54,0.49,0.27,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
341:(12/07),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.09,0.11,0.15,0.22,0.17,0.13,0.09,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.0
342:(12/08),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.17,0.24,0.36,0.39,0.35,0.29,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
343:(12/09),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.17,0.40,0.57,0.69,0.59,0.65,0.41,0.24,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
344:(12/10),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.20,0.45,0.57,0.14,0.72,0.65,0.30,0.16,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
345:(12/11),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.20,0.35,0.56,0.46,0.60,0.65,0.43,0.29,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
346:(12/12),0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.25,0.44,0.62,0.72,0.73,0.65,0.45,0.23,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
347:(12/13),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.25,0.32,0.37,0.38,0.37,0.38,0.39,0.28,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.9
348:(12/14),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.26,0.38,0.45,0.64,0.58,0.62,0.50,0.28,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
349:(12/15),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.46,0.62,0.71,0.69,0.62,0.49,0.29,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
350:(12/16),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.19,0.37,0.50,0.54,0.50,0.45,0.34,0.27,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.3
351:(12/17),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.24,0.31,0.34,0.38,0.39,0.39,0.36,0.27,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
352:(12/18),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.34,0.42,0.66,0.72,0.57,0.46,0.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
353:(12/19),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.25,0.39,0.50,0.56,0.57,0.57,0.48,0.30,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
354:(12/20),0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.24,0.32,0.33,0.31,0.31,0.29,0.28,0.24,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.5
355:(12/21),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.22,0.24,0.25,0.26,0.24,0.26,0.23,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.1
356:(12/22),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.24,0.43,0.54,0.59,0.58,0.54,0.44,0.30,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
357:(12/23),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.18,0.44,0.56,0.53,0.64,0.61,0.35,0.30,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
358:(12/24),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.21,0.23,0.23,0.24,0.25,0.25,0.21,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.0
359:(12/25),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.38,0.47,0.56,0.69,0.54,0.45,0.30,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.8
360:(12/26),0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.23,0.35,0.32,0.46,0.47,0.26,0.26,0.25,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.7
361:(12/27),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.20,0.43,0.57,0.71,0.73,0.62,0.51,0.26,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.2
362:(12/28),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.32,0.38,0.44,0.51,0.49,0.42,0.31,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.2
363:(12/29),0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.23,0.39,0.53,0.62,0.68,0.64,0.51,0.32,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.0
364:(12/30),0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.23,0.36,0.49,0.57,0.57,0.55,0.51,0.29,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.7
365:(12/31),0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.10,0.24,0.44,0.57,0.38,0.52,0.28,0.17,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.8
